time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Long1,Long2,Long3,Long4,Short
2017-06-02,2413.58,2489,2370.03,2488.94,1378.4490090090096,927.8424571428575,1484.5479314285722,1855.684914285715,2783.527371428572,4639.212285714288,7422.73965714286,12061.951942857148,19484.691600000006,662.7446122448982,579.9015357142858,463.92122857142874,356.8624835164836,0,0,0,0,0
2017-06-03,2488.94,2584.34,2445,2540.94,1392.3247747747753,932.9456285714289,1492.7130057142863,1865.8912571428577,2798.836885714287,4664.728142857144,7463.565028571431,12128.293171428575,19591.858200000006,666.3897346938778,583.091017857143,466.47281428571443,358.8252417582419,0,0,0,0,0
2017-06-04,2538.1,2569,2460,2530.27,1406.1038738738741,937.9994285714289,1500.7990857142863,1875.9988571428578,2813.998285714287,4689.997142857144,7503.995428571431,12193.992571428576,19697.98800000001,669.999591836735,586.249642857143,468.99971428571445,360.7690109890111,0,0,0,0,0
2017-06-05,2530.27,2699.35,2525.28,2698,1421.3211711711717,943.6198571428573,1509.7917714285718,1887.2397142857146,2830.859571428572,4718.099285714286,7548.9588571428585,12267.058142857146,19816.017000000003,674.0141836734696,589.7624107142858,471.80992857142866,362.9307142857143,0,0,0,0,0
2017-06-06,2698,2933,2689.4,2880.74,1438.1609009009012,949.9432857142859,1519.9092571428575,1899.8865714285719,2849.8298571428577,4749.71642857143,7599.5462857142875,12349.262714285716,19948.809000000005,678.5309183673471,593.7145535714287,474.97164285714297,365.3628021978023,0,0,0,0,0
2017-06-07,2875.71,2893.28,2612.5,2683.03,1453.028738738739,955.8910857142861,1529.4257371428578,1911.7821714285722,2867.6732571428583,4779.45542857143,7647.128685714289,12426.584114285719,20073.71280000001,682.7793469387758,597.4319285714288,477.94554285714304,367.65041758241773,0,0,0,0,0
2017-06-08,2680.24,2815,2613.13,2806,1468.7993693693697,962.1227714285717,1539.3964342857148,1924.2455428571434,2886.3683142857153,4810.613857142858,7696.982171428574,12507.596028571432,20204.578200000007,687.2305510204084,601.3267321428573,481.06138571428585,370.04721978021985,0,0,0,0,0
2017-06-09,2805.46,2868.23,2780.43,2822.32,1484.708558558559,968.295942857143,1549.273508571429,1936.591885714286,2904.887828571429,4841.479714285715,7746.367542857144,12587.84725714286,20334.2148,691.6399591836737,605.1849642857144,484.1479714285715,372.42151648351654,0,0,0,0,0
2017-06-10,2818,2912.98,2800,2899.99,1501.3589189189195,974.6963142857145,1559.5141028571434,1949.392628571429,2924.0889428571436,4873.481571428572,7797.570514285716,12671.05208571429,20468.622600000006,696.2116530612246,609.1851964285715,487.34815714285725,374.88319780219786,0,0,0,0,0
2017-06-11,2899.01,2967.46,2861.53,2954.22,1518.2077477477483,981.2575428571432,1570.0120685714292,1962.5150857142864,2943.77262857143,4906.287714285716,7850.060342857146,12756.348057142863,20606.408400000008,700.8982448979594,613.2859642857145,490.6287714285716,377.4067472527474,0,0,0,0,0
2017-06-12,2954.23,2980,2480.03,2667.06,1532.1036036036041,986.9991428571432,1579.1986285714293,1973.9982857142863,2960.9974285714297,4934.995714285716,7895.993142857145,12830.988857142862,20726.982000000007,704.9993877551024,616.8744642857145,493.4995714285716,379.6150549450551,0,0,0,0,0
2017-06-13,2656.97,2783.62,2638.62,2703.02,1546.2748648648655,992.8761142857146,1588.6017828571435,1985.7522285714292,2978.6283428571437,4964.380571428573,7943.008914285717,12907.38948571429,20850.398400000005,709.1972244897962,620.5475714285716,496.4380571428573,381.8754285714287,0,0,0,0,0
2017-06-14,2705.99,2801,2320,2450,1557.6432432432437,998.0643714285717,1596.9029942857148,1996.1287428571434,2994.193114285715,4990.321857142859,7984.5149714285735,12974.836828571431,20959.351800000004,712.9031224489798,623.7902321428572,499.03218571428584,383.8709120879122,0,0,0,0,0
2017-06-15,2451.42,2516.2,2120,2424.91,1568.8573873873877,1003.0842571428575,1604.9348114285722,2006.168514285715,3009.2527714285725,5015.4212857142875,8024.67405714286,13040.095342857148,21064.76940000001,716.4887551020411,626.9276607142859,501.54212857142875,385.8016373626375,0,0,0,0,0
2017-06-16,2424.96,2540,2307.66,2484.68,1580.8617117117121,1008.2551714285718,1613.2082742857149,2016.5103428571435,3024.765514285715,5041.2758571428585,8066.041371428574,13107.317228571434,21173.358600000007,720.1822653061228,630.1594821428573,504.1275857142859,387.79045054945067,0,0,0,0,0
2017-06-17,2484.68,2674.4,2420.53,2630,1593.9333333333336,1013.7623714285717,1622.0197942857149,2027.5247428571433,3041.287114285715,5068.811857142859,8110.098971428573,13178.910828571432,21289.009800000003,724.115979591837,633.6014821428572,506.88118571428583,389.90860439560447,0,0,0,0,0
2017-06-18,2630.06,2665,2460.62,2516.98,1605.8463063063068,1019.0729714285717,1630.5167542857148,2038.1459428571434,3057.218914285715,5095.364857142858,8152.5837714285735,13247.948628571432,21400.532400000004,727.9092653061227,636.9206071428573,509.53648571428585,391.95114285714294,0,0,0,0,0
2017-06-19,2516.98,2598,2480.96,2598,1618.5200900900904,1024.5519714285715,1639.2831542857145,2049.103942857143,3073.6559142857145,5122.759857142857,8196.415771428572,13319.17562857143,21515.5914,731.822836734694,640.3449821428571,512.2759857142858,394.0584505494506,0,0,0,0,0
2017-06-20,2598,2783,2581,2740,1632.1562162162168,1030.469285714286,1648.7508571428575,2060.938571428572,3091.4078571428577,5152.346428571429,8243.754285714287,13396.100714285716,21639.855000000003,736.0494897959186,644.0433035714286,515.234642857143,396.33434065934074,0,0,0,0,0
2017-06-21,2734.03,2789,2611,2657.04,1644.7688288288293,1036.1331142857143,1657.812982857143,2072.2662285714287,3108.399342857143,5180.665571428572,8289.064914285715,13469.730485714286,21758.795400000003,740.0950816326531,647.5831964285715,518.0665571428572,398.51273626373626,0,0,0,0,0
2017-06-22,2658.67,2740,2594.61,2713.48,1657.6350450450454,1042.0625142857145,1667.3000228571434,2084.125028571429,3126.187542857144,5210.3125714285725,8336.500114285716,13546.812685714289,21883.312800000007,744.330367346939,651.2890714285716,521.0312571428573,400.7932747252748,0,0,0,0,0
2017-06-23,2713.48,2745,2657.46,2685.05,1670.4733333333336,1047.8398000000002,1676.5436800000004,2095.6796000000004,3143.5194000000006,5239.1990000000005,8382.718400000002,13621.917400000002,22004.635800000004,748.4570000000002,654.8998750000001,523.9199000000001,403.0153076923078,0,0,0,0,0
